Code,Destination,Sous-destination
10,Exploitation agricole et forestière,
11,,exploitation agricole
12,,exploitation forestière
20,Habitation,
21,,logement
22,,hébergement
30,Commerce et activités de service,
31,,artisanat et commerce de détail
32,,restauration
33,,commerce de gros
34,,activités de services où s'effectue l'accueil d'une clientèle
35,,cinéma
36,,hôtels
37,,autres hébergements touristiques
40,Equipements d'intérêt collectif et services publics,
41,,locaux et bureaux accueillant du public des administrations publiques et assimilés
42,,locaux techniques et industriels des administrations publiques et assimilés
43,,"établissements d'enseignement, de santé et d'action sociale"
44,,salles d'art et de spectacles
45,,équipements sportifs
46,,autres équipements recevant du public
47‍,,lieux de culte
50,"Autres activités des secteurs primaire, secondaire ou tertiaire",
51,,industrie
52,,entrepôt
53,,bureau
54,,centre de congrès et d'exposition
55,,cuisine dédiée à la vente en ligne
99,"Autres activités, usages et affectations des sols. Il est recommandé de consulter le règlement littéral.",
