Code,Libellé,Définition
0,sans objet ou non encore définie dans le règlement,
100,habitat,Tout type d'habitat
101,habitat centre-ville,Petites parcelles étroites – bâti implanté en mitoyen et à l’alignement ; Rues sinueuses et non structurées.
102,habitat centre-villageois,"Tissu compact issu d’une implantation historique - petites parcelles étroites – bâti implanté en mitoyen et/ou à l’alignement. Rues sinueuses et non structurées. Présence d’espaces ou équipements publics fédérateurs, nombre de constructions plus important que les hameaux."
103,habitat faubourg,Tissu compact et dense en extension du centre ancien. Petites parcelles étroites et souvent allongées (autour de 400 m²) en forme parallélogramme – bâti implanté en mitoyen et/ou à l’alignement.
104,habitat hameau,Tissu compact issu d’une implantation historique. Parcelles de taille variable – bâti globalement implanté au contact de l’espace public. Rues sinueuses et étroites.
105,habitat collectif,"(R+3 à R+4) Bâti discontinu, déconnecté des espaces urbains voisins. Taille des parcelles variables avec une prédominance de grandes parcelles de plus de 1 000 m² – voies de desserte larges – bâti en retrait par rapport aux limites parcellaires."
106,habitat petits collectifs,"(R+2 max) Bâti discontinu, déconnecté des espaces urbains voisins. Taille des parcelles variables avec une prédominance de grandes parcelles de plus de 1 000 m² – voies de desserte larges – bâti en retrait par rapport aux limites parcellaires."
107,habitat pavillonnaire dense,"Tissus résidentiel discontinu, dense, organisé et présentant une certaine homogénéité. Petites parcelles en forme homogène – bâti implanté en retrait des limites parcellaires."
108,habitat pavillonnaire peu dense,"Tissus discontinu, non organisé et hétérogène. Bâti implanté de manière aléatoire – plutôt grandes parcelles - bâti implanté en retrait des limites parcellaires."
109,habitat maitrisé,"Bâti isolé au milieu d’un espace naturel, agricole ou forestier. Parcelles de forme variable avec prédominance pour les grandes de plus de 1 000 m² - bâti implanté en retrait des limites parcellaires."
110,habitat collectif haut,"(R+5 à R+8) Bâti discontinu, déconnecté des espaces urbains voisins. Taille des parcelles variables avec une prédominance de grandes parcelles de plus de 1 000 m² – voies de desserte larges – bâti en retrait par rapport aux limites parcellaires."
111,habitat collectif de grande hauteur,"(R+9 et plus) Bâti discontinu, déconnecté des espaces urbains voisins. Taille des parcelles variables avec une prédominance de grandes parcelles de plus de 1 000 m² – voies de desserte larges – bâti en retrait par rapport aux limites parcellaires."
200,activité,Tout type d’activité
201,activité industrielle / logistique / commerciale,"Zone regroupant des entreprises, usines, entrepôts, surfaces commerciales… visibles et en dehors des zones urbanisées."
202,activité commerces,Espace regroupant des commerces de proximité. Parcelles de taille et forme variables.
203,activité bureaux,Ensembles d’immeubles de bureaux privatisés abritant des entreprises et activités tertiaires. Parcelles de taille et de formes variables – surface de parkings importante mais espaces verts présents.
300,mixte habitat / activité,"Secteur où une mixité fonctionnelle est soit recherchée, soit à encadrer."
400,loisirs et tourisme,Tout type de loisir et de tourisme
401,loisir parc et jardin,Parcs et jardins en milieu urbain
402,loisir parc d'attraction,Parcs d'attraction
403,loisir balnéaire et nautique,"Plages, port de plaisance"
404,loisir de montagne,"Pistes et domaines orientés vers les loisirs de montagnes (tracés skiables en hiver, espaces de randonnées, activités sportives …)"
405,loisir sportif,"Ensemble d'équipements sportifs (stades, gymnases, circuit automobile …)"
406,tourisme hôtelier,Ensembles d'immeubles d'hébergement hôtelier
407,tourisme camping,Espaces réservés aux activités de camping
500,Équipement public,Tout type d’équipement
501,équipement de proximité,"Crèches, écoles, collèges, lycées, gendarmerie, commissariat, sécurité incendie"
502,équipement généraux,"Hopitaux, Universités"
503,équipement de défense nationale,Domaine militaire
504,équipement d’accueil,Aire d'accueil des gens du voyage
505,équipement d’accueil,Aire de grand passage
600,infrastructure de transport,Tout type d’infrastructure de transport
601,infrastructure autoroutière,Emprise autoroutière et équipements associés
602,infrastructure ferroviaire,Emprise ferroviaire et équipements associés
603,infrastructure aéroportuaire,Emprise aéroportuaire et équipements associés
604,infrastructure portuaire,"Port d'ampleur nationale (frêt, marchandises…)"
700,activité agricole,Toutes activités agricoles
701,terres agricoles non bâties,Terres agricoles dépourvues de toute construction
702,terres agricoles avec bâtis légers,"terres agricoles pouvant contenir des constructions démontables (serres, tunnels, constructions sans fondation…)"
703,terres agricoles avec bâtis en dur,terres agricoles avec éventuellement des bâtiments agricoles en dur
704,terres agricoles avec bâtis agricoles,"terres agricoles avec éventuellement des bâtiments agricoles, le logement des exploitants et des locaux dans le prolongement de l’activité agricole (point de vente à la ferme, atelier de transformation des produits de la ferme...)"
705,terres agricoles avec bâtis divers,"terres agricoles avec éventuellement des bâtiments agricoles, le logement des exploitants, des locaux dans le prolongement de l’activité agricole (point de vente à la ferme, atelier de transformation des produits de la ferme…), des locaux associés à une diversification (touristique, culturelle, éducative…)"
800,espace naturel,Tous espaces naturels
801,espace naturel remarquable,espace naturel remarquable
802,espace naturel montagne ou littoral,espace naturel caractéristique du patrimoine naturel et relevant de l’application des dispositions montagne / littoral
900,Valorisation des sols et sous-sols,Toutes valorisations des sols et sous-sols
901,secteur de carrière,Secteur d'activité d'extraction minérale
902,secteur d'accueil des déchets,Secteur de traitement ou d'enfouissement des déchets
903,secteur de parc photovoltaïque,secteur susceptible d’accueillir des parcs photovoltaïques
9900,autre,Autre
