Code,Sous-Code,Libellé,Références pour la définition de l’information,Références pour l’annexion,Géom. Autorisée,Géom. Autorisée,Géom. Autorisée
--,--,Depuis la Loi CAP de juillet 2016 : ce périmètre d’information est désormais supprimé car il correspond à une SUP,L631-1 code du patrimoine,,,,
2,0,Zone d'aménagement concerté,L311-1 code de l’urba.,R151-52 8°,S,,
3,0,Zone de préemption dans un espace naturel et sensible [Attention : information facultative non exigée par la loi],L215-1 code de l’urbanisme,Pas de référence pour l’annexion,S,,
4,0,Périmètre de droit de préemption urbain,L211-1 code de l’urba.,R151-52 7°,S,,
4,1,Périmètre de droit de préemption urbain renforcé,,R151-52 7°,S,,
5,0,Zone d'aménagement différé,L212-1 et L212-2-1 code de l’urbanisme,R151-52 7°,S,,
--,--,"Anciennement code 06 : zone d’obligation du permis de démolir, est transféré en Prescription 03",,,,,
7,0,Périmètre de développement prioritaire économie d'énergie,L712-2 code de l’énergie,R151-53 1°,S,,
8,0,"Périmètre forestier : interdiction ou réglementation des plantations (code rural et de la pêche maritime), plantations à réaliser et semis d'essence forestière",L126-1 code rural et de la pêche maritime,R151-53 2°,S,,
9,0,Périmètre minier de concession pour l'exploitation ou le stockage,Livres I et II du code minier,R151-53 3°,S,,
10,0,Zone de recherche et d'exploitation de carrière,"L321-1, L333-1 et L334-1 du code minier",R151-53 4°,S,,
11,0,Périmètre des zones délimitées - divisions foncières soumises à déclaration préalable,L115-3 code de l’urbanisme,R151-52 4°,S,,
12,0,Périmètre de sursis à statuer,L424-1 code de l’urba.,R151-52 13°,S,,
13,0,Secteur de programme d'aménagement d'ensemble,L332-9 code de l’urbanisme dans sa version antérieure au 1er mars 2012,R151-52 9°,S,,
14,0,Périmètre de voisinage d'infrastructure de transport terrestre (secteur affecté par le bruit),L571-10 code de l’environnement,R151-53 5°,S,,
--,--,Anciennement code 15 est abrogé : les Zones Agricoles Protégées sont à traiter en SUP A9,,Abrogé,,,
16,0,Site archéologique [Attention : information facultative non exigée par la loi],L522-5 2ème alinéa du code du patrimoine,Pas de référence pour annexion,S,L,P
17,0,Zone à risque d'exposition au plomb,"L1334-5 code de la santé publique dans sa version antérieure au
11 ao t 2004",R151-53 6°,S,,
--,--,"Anciennement code 18 (Espaces et milieux à préserver, en fonction de l'intérêt écologique)  est transféré en Prescription 31",L121-23 code de l’urbanisme,R121-4,,,
19,1,"Zone d'assainissement collectif/non collectif, eaux usées/eaux pluviales, schéma de réseaux eau et assainissement, systèmes d'élimination des déchets",L2224-10 code général des collectivités territoriales,R151-53 8° (zone),S,L,P
19,2,Emplacements traitement eaux et déchets,,R151-53 8° ,S,L,P
20,0,Règlement local de publicité,L581-14 code de l’environnement,R151-53 11°,S,,
21,0,Projet de plan de prévention des risques,L562-2 code de l’environnement,R151-53 9°,S,,
22,0,Protection des rives des plans d'eau en zone de montagne,L122-12 code de l’urbanisme,Pas de référence pour l’annexion,S,L,
23,0,Arrêté du préfet coordonnateur de massif,L122-12 code de l’urba.,R151-52 6°,S,,
--,--,24 (Document d'aménagement artisanal et Commercial) est transféré en Prescription 18-07,,,,,
25,0,Périmètre de protection des espaces agricoles et naturels périurbain,L113-16 code de l’urba.,R151-52 3°,S,,
--,--,Anciennement code 26 (lotissement) est Abrogé,Abrogé,Abrogé,,,
27,0,Plan d'exposition au bruit des aérodromes,L112-6 code de l’urba.,R151-52 2°,S,,
--,--,"Anciennement codes 28 et 29, sont transférés en Prescription 30",,,,,
30,0,Périmètre projet urbain partenarial,L332-11-3 code de l’urbanisme,R151-52 12°,S,,
31,0,Périmètres patrimoniaux d’exclusion des matériaux et énergies renouvelables pris par délibération,L111-17 code de l’urbanisme,Pas de référence pour l’annexion,S,,
32,0,Secteur de taxe d'aménagement,L331-14 et L331-15 code urbanisme,R151-52 10°,S,,
33,0,Droit de préemption commercial [Attention : information facultative non exigée par la loi],"L 214-1, R214-1 et 2 code de l’urbanisme",Pas de référence pour l’annexion,S,,
34,0,Périmètre d'opération d'intérêt national [Attention : information facultative non exigée par la loi],L102-12 et R102-3 code de l’urbanisme,Pas de référence pour l’annexion,S,,
35,0,Périmètre de secteur affecté par un seuil minimal de densité,L331-36 code de l’urba.,R151-52 11°,S,,
36,0,Schémas d'aménagement de plage,L121-28 code de l’urba.,R151-52 5°,S,,
37,0,Bois ou forêts relevant du régime forestier,L211-1 et L211-2 code forestier,R151-53 7°,S,,
38,0,Secteurs d'information sur les sols ,L125-6 code de l’environnement,R151-53 10°,S,,
39,0,Périmètres de projets AFUP (dans lesquels les propriétaires fonciers sont incités à se regrouper en AFU de projet et les AFU de projet à mener leurs opérations de façon concertée),L322-13 code de l’urbanisme,R151-52 14°,S,,
40,1,Périmètre d’un bien inscrit au patrimoine mondial,L612-1 et R612-1 à R612-2 code du patrimoine,R151-53,S,,
40,2,Zone tampon d’un bien inscrit au patrimoine mondial,,R151-53,S,,
41,0,Bande de recul le long des axes à grande circulation,L111-6 code de l’urba.,Pas de référence pour l’annexion,S,,
42,0,"Secteurs délimités par délibération de l'autorité compétente en matière d'urbanisme, dans lesquels certaines opérations sont soumises à autorisation d'urbanisme.",,,S,,
42,1,secteur dans lequel les travaux de démolition sont soumis à permis de démolir,R421-27,R151-52,S,,
42,2,Secteur dans lequel l'édification d'une clôture doit être précédée d'une déclaration préalable,R421-12 d,R151-52,,,
42,3,secteur dans lequel les travaux de ravalement sont soumis à déclaration préalable,R421-17-1 e,R151-52,,,
43,0,Secteur d’obligation légale de débroussaillement (OLD) en prévention des incendies,,R151-53,S,,
44,1,Préfiguration de zone exposée au recul du trait de côte à l'horizon de 30 ans,L121-22-3,,S,,
44,2,Préfiguration de zone exposée au recul du trait de côte à un horizon compris entre trente et cent ans,L121-22-3,,S,,
70,0,Code réservé aux PSMV : Emprise ou localisation des immeubles bâtis ou non bâtis classés ou inscrits au titre des monuments historiques. Se référer au standard PSMV,,,,,
97,0,"Périmètre d’application d’une pièce écrite territorialisée relative aux annexes (liste des annexes, liste des SUP, plan des SUP)",,,S,,
98,0,Périmètre d’annulation partielle du document d’urbanisme (lorsqu’elle impacte le règlement graphique),,,S,,
99,0,"Autre périmètre, secteur, plan, document, site, projet, espace.",,,S,L,P
99,1,Autre information relevant de la loi littoral,,,S,L,P
99,2,Autre information relevant de la loi montagne,,,S,L,P
