Code,Libellé,Définition
0000,sans objet ou non encore définie dans le règlement,sans objet ou non encore définie dans le règlement
0100,habitat,Type d'habitat non défini.
0101,habitat centre-ville,"Petites parcelles étroites – bâti implanté en mitoyen et à l’alignement
Rues sinueuses et non structurées."
0102,habitat centre-villageois,Tissus compact souvent en promontoirePetites parcelles étroites – bâti implanté en mitoyen et à l’alignement. Rues sinueuses et non structurées.
0103,habitat faubourg,"Tissus compact et dense en extension du centre ancien (ou village rue ?)
Petites parcelles étroites (400 m²) en forme parallélogramme – bâti implanté en mitoyen et à l’alignement."
0104,habitat hameau,"Regroupement ancien de quelques bâtiments autour d’un édifice (bastide, ferme, château…). Parcelles plutôt grandes mais variable selon le contexte – bâti implanté en retrait des limites séparatives. Rues sinueuses et étroites."
0105,habitat collectif,"(R+3 et plus). Bâti discontinu, déconnecté des espaces urbains voisins. Taille des parcelles variables avec une prédominance de grandes parcelles de plus de 1 000 m² – voies de desserte larges – bâti en retrait par rapport aux limites parcellaires."
0106,habitat petits collectifs,"(R+2 max)Bâti discontinu, déconnecté des espaces urbains voisinsTaille des parcelles variables avec une prédominance de grandes parcelles de plus de 1 000 m² – voies de desserte larges – bâti en retrait par rapport aux limites parcellaires."
0107,habitat pavillonnaire dense,"Tissus résidentiel discontinu, dense, organisé et présentant une certaine homogénéité. Petites parcelles (350 m²) en forme homogène – bâti implanté en retrait des limites parcellaires."
0108,habitat pavillonnaire peu dense,"Tissus discontinu, non organisé et hétérogène. Bâti implanté de manière aléatoire – plutôt grandes parcelles (400 à 1 000 m² environ) - bâti implanté en retrait des limites parcellaires."
0109,habitat maitrisé,"Bâti isolé au milieu d’un espace naturel, agricole ou forestier
Parcelles de forme variable avec prédominance pour les grandes de plus de 1 000 m² - bâti implanté en retrait des limites parcellaires."
0200,activité,Type d'activité non défini.
0201,activité industrielle / logistique / commerciale,"Zone regroupant des entreprises, usines, entrepôts, surfaces commerciales… visibles et en dehors des zones urbanisées."
0202,activité commerces,Espace regroupant des commerces de proximité. Parcelles de taille et forme variables.
0203,activité bureaux,Ensembles d’immeubles de bureaux privatisés abritant des entreprises et activités tertiaires Parcelles de taille et de formes variables – surface de parkings importante mais espaces verts présents.
0300,mixte habitat / activité,Valeur réservée aux zones AU dont la destination n'est pas encore arrêtée.
0400,loisirs et tourisme,Type de loisir et de tourisme non défini.
0401,loisir parc et jardin,Parcs et jardins en milieu urbain
0402,loisir parc d'attraction,Parcs d'attraction
0403,loisir balnéaire et nautique,"Plages, port de plaisance"
0404,loisir de montagne,"Pistes et domaines orientés vers les loisirs de montagnes (tracés skiables en hiver, espaces de randonnées, activités sportives …)"
0405,loisir sportif,"Ensemble d'équipements sportifs (stades, gymnases, circuit automobile …)"
0406,tourisme hôtelier,Ensembles d'immeubles d'hébergement hôtelier
0407,tourisme camping,Espaces réservés aux activités de camping
0500,Équipement public,Type d'équipement public non défini
0501,équipement de proximité,"Crèches, écoles, collèges, lycées, gendarmerie, commissariat, sécurité incendie"
0502,équipement généraux,"Hopitaux, Universités"
0503,équipement de défense nationale,Domaine militaire
0600,infrastructure de transport,Type d'infrastructure de transport non défini
0601,infrastructure autoroutière,Emprise autoroutière et équipements associés
0602,infrastructure ferroviaire,Emprise ferroviaire et équipements associés
0603,infrastructure aéroportuaire,Emprise aéroportuaire et équipements associés
0604,infrastructure portuaire,"Port d'ampleur nationale (frêt, marchandises…)"
0700,activité agricole,Toutes activités agricoles
0701,terres agricoles non bâties,terres agricoles dépourvues de toute construction
0702,terres agricoles avec bâtis légers,"terres agricoles pouvant contenir des constructions démontables (serres, tunnels, constructions sans fondation…)"
0703,terres agricoles avec bâtis en dur,terres agricoles avec éventuellement des bâtiments agricoles en dur
0704,terres agricoles avec bâtis agricoles,"terres agricoles avec éventuellement des bâtiments agricoles, le logement des exploitants et des locaux dans le prolongement de l’activité agricole (point de vente à la ferme, atelier de transformation des produits de la ferme...)"
0705,terres agricoles avec bâtis divers,"terres agricoles avec éventuellement des bâtiments agricoles, le logement des exploitants, des locaux dans le prolongement de l’activité agricole (point de vente à la ferme, atelier de transformation des produits de la ferme…), des locaux associés à une diversification (touristique, culturelle, éducative…)"
0800,espace naturel,Tous espaces naturels
0801,espace naturel remarquable,espace naturel remarquable
0802,espace naturel montagne ou littoral,espace naturel caractéristique du patrimoine naturel et relevant de l’application des dispositions montagne / littoral
0900,valorisation des sols et sous-sols,Toutes valorisations des sols et sous-sols
0901,secteur de carrière,secteur d'activité d'extraction minérale
0902,secteur d'accueil des déchets,secteur de traitement ou d'enfouissement des déchets
0903,secteur de parc photovoltaïque,secteur susceptible d’accueillir des parcs photovoltaïques
9900,autre,Autre
